company_dunsum,avg_fed_contract,top1_dunsnumber,top2_dunsnumber,top3_dunsnumber,top4_dunsnumber,top5_dunsnumber,top1_avg_fed_contract,top2_avg_fed_contract,top3_avg_fed_contract,top4_avg_fed_contract,top5_avg_fed_contract
1631761,2076.2133333333,35243609,49865769,829029714,807613229,807799903,2075,2077.5,2070.875,2068.5,2086.195
1643170,207555.495,106957210,78451110,838195303,56135924,168399611,207318.66,207989.91,208000,208080,206871.615
1655984,1438.5,138610345,80624737,849235353,15907129,199803651,1439,1440,1440,1447,1429.65
1657154,3550,119278398,798673898,2483832,21306101,785627738,3550,3553.14,3553.24,3555,3555
1660786,143211.686,39860122,11229556,940061927,825301554,11162633,143232.973333333,143251.383333333,143391.98,142990.06,142973
1663012,224560.29,153882816,16894249,843186818,78675538,605055235,224790.875,224284,224900,224916,224959.333333333
1663566,50845.064,10584386,56311459,56286347,605681998,78144326,50864.105,50883.8,50883.97,50909.54,50748.5066666667
1666593,3315.3,1943703,45657103,83146266,83139639,788495521,3315,3314.7,3316.6666666667,3317.05,3313.5
1701119,21143.8333333333,11171915,41263646,1288364,45671948,44611812,21152.3333333333,21155,21160,21126.5,21163.715
1705425,10057.25,5237219,78294848,828479498,606774891,620897504,10063.1,10050,10065.6,10047.25,10067.9
1707322,4066979.37833333,147430474,928910843,784773512,51758449,127892995,4064134.798,4046560.795,4093887.99333333,4108047.7,4015128.12166667
1707900,12251716.21,965953359,828479688,2012516,615217486,30255160,12362506.316,12378007.6566667,12123296.675,12096982.8175,12436920
1713437,34032.028,10909577,22727569,176867109,68025683,123048030,34031.2,34030.5066666667,34035.9966666667,34044.315,34008.7
1717040,50410,59012682,188180587,938257586,188444285,2322071,50398.1466666667,50450,50358.78,50355.618,50467.38
1773399,4068.172,11573417,942720843,85138217,41243937,70774211,4069.2,4069.92,4065,4071.95,4073.785
1774090,1271860.14666667,962065392,10150766,91213041,144818981,832028703,1271529.165,1270287.7925,1266657.26666667,1278264.79,1279277.355
1774736,246734.466666667,606727402,2140390,140039392,29389033,48797252,246736.386666667,246751.368333333,246620.222,246856.3025,246480.98
1775097,16896.87,22927230,802048566,110864589,6164627,933454332,16892.408,16901.86,16904.5,16904.78,16917.9
1775493,10972.83,32758526,831083709,968071261,242148500,795047232,10978.5466666667,10963,10961.54,10985.7,10986.89
1776129,45119.8975,964457803,120316711,122672728,112114041,66788886,45102.2,45091.1225,45085.34,45164,45069
1776418,97557.2166666667,13004192,52444478,150585081,105243328,147962653,97534.6333333333,97500,97637.5966666667,97454.1633333334,97360
1776608,82196.8166666667,118864917,807467217,193830502,39926014,2501963,82258.215,82259,82119.305,82342.785,81984
1793009,17462.965,144124518,135189590,840499052,85505543,154971360,17460,17455.5,17454.65,17452.2,17474.33
1799191,649890.228333333,48530240,883913972,6100458,69199628,625601054,650577.636666667,648398.75,648033.88,645614.896666667,645533
1803089,3568294.03,879723468,833064566,839179272,790907021,36796498,3569153.88,3563053.635,3554509.415,3554308.9,3587284.15
1813872,7476.31,131661951,122379519,56007248,788209661,57145781,7475,7469.99,7483.5,7485,7488.41
1818012,32943818.65,182830158,78497698,83664193,129325317,36475833,32574899.316,32290671.74,34101143.0983333,34253824.9466667,31488655.716
1818512,25753.0433333333,102196313,968651997,50720853,786546437,175515675,25750,25748.915,25748.1,25747,25746.7675
1825736,4700911.02666667,11445301,604357087,54781240,784366544,83211284,4703662.48666667,4729688.71166667,4731782.916,4767861.16333333,4633756.35666667
1853050,61954.96,618011964,77306645,78706682,1582766,780400771,61972.5,61987.5,61918,61898.85,61882.94
1854314,34236,12411526,107918526,78721456,60704830,116279183,34228,34211.78,34265,34280.358,34288.412
1859107,70108.5,198140154,14762863,178163093,1361955,938262565,70075,70066.6666666667,70161.25,70050,70210
1861079,36572.7,94265600,160168019,133467592,121387166,806830514,36582,36513.46,36641.9683333333,36645,36653.05
1865534,36210.5,958109761,616427324,28937576,5212343,616985029,36201.09,36221.06,36226.07,36183,36182.9866666667
1870138,125170.384,968171277,13330385,964595636,158252143,969055842,125192,125055.5,125000,124993,124983.5
1875541,327645,829193049,873183909,1824663,103385519,556068948,327544.333333333,327822.998,327448.843333333,327857.078333333,327932.4925
1892108,972447,150968910,956733141,86875007,828659081,118937239,972058.438,973646.3,974556.54,974592,969753.496666667
1892660,233728.076666667,600821925,603764510,965528201,868850280,878538987,233780.25,234062.016666667,234087.665,233342.75,233322.836666667
1906705,106700.77,876400862,101719102,608467531,153868641,46815234,106699.35,106720.185,106723.185,106635.01,106836.848333333
1911833,13999.97,55928923,849984927,79488188,33610896,30574003,14000,14000,14000,14000,13999.92
1912864,11041718.8766667,150917342,28619588,44081388,824848865,90380036,11096461.65,11124609.4083333,10947478,10697769.445,11395857.2825
1913557,18271.205,82193277,928251321,69042513,827819413,12366666,18278.63,18262.33,18283.5,18258.0733333333,18298
1913912,21526.3333333333,622779721,49910649,195168513,110340481,3274045,21529.475,21518.8666666667,21518.26,21513.6533333333,21510
1915081,53721.5,14122324,14988981,604498469,144446895,607742264,53739.36,53700,53760,53764.68,53778
1941301,22721.5,844529946,623852030,31985620,23598378,75169904,22720.77,22716.245,22727.57,22711.25,22700
1943703,3315,1666593,45657103,788495521,83146266,83139639,3315.3,3314.7,3313.5,3316.6666666667,3317.05
1947357,4006910.86333333,127892995,2185551,113188770,928910843,167164057,4015128.12166667,3986925.855,3974255.96166667,4046560.795,3963314.775
1949916,2969160.54,73877297,30123488,969540751,173774043,949596464,2966492.61,2974111.41,2975017.548,2962300.095,2976920.52
1954387,214866.598333333,782806673,608069092,621649222,85602712,18416920,214585.18,214479.648333333,215257.16,214413,214375
1958198,3284.6533333333,34383240,58810771,118519552,615990363,833254571,3288,3281.065,3290,3291.71,3291.75
1979954,2833.232,624541330,124431136,605453638,137319104,134459663,2832.9,2834.125,2831.4566666667,2830,2840
