company_dunsum,product_count,top1_dunsnumber,top2_dunsnumber,top3_dunsnumber,top4_dunsnumber,top5_dunsnumber,top1_product_count,top2_product_count,top3_product_count,top4_product_count,top5_product_count,top1_jaccard_distance,top2_jaccard_distance,top3_jaccard_distance,top4_jaccard_distance,top5_jaccard_distance
5212343,1,17772240,119176253,830780503,117342790,23223791,1,1,1,1,2,0,0,0,0,0.5
123509767,1,965408230,7915839,800413036,153684134,3275224,1,1,1,1,1,0,0,0,0,0
968023866,1,86790164,83819511,131095085,7901598,97779698,1,4,4,5,8,0,0.75,0.75,0.8,0.875
78310357,1,785268798,807636733,79248545,6987648,84772482,1,1,1,1,1,0,0,0,0,0
624295924,1,111900486,828453329,82840302,606820392,89163047,1,1,1,1,1,0,0,0,0,0
2160158,12,46349924,195553482,808612373,182011635,52451085,7,7,3,3,14,0.7333333333,0.7333333333,0.75,0.75,0.7619047619
122708683,1,72260032,55189732,160348731,118727283,605002732,1,1,1,1,1,0,0,0,0,0
789523420,2,78479295,197574965,827325916,18839394,16908464,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
167531362,1,104288167,56135742,153636159,965981751,49774797,1,1,1,1,1,0,0,0,0,0
968852749,1,1885953,58317863,7938207,847927498,806756552,1,1,1,1,1,0,0,0,0,0
90328084,1,48806376,1950005,1775493,1818512,2154045,1,1,1,3,3,0,0,0,0.6666666667,0.6666666667
616381794,1,122682917,77544922,187969915,828343736,144457504,1,1,1,1,1,0,0,0,0,0
119704054,1,830575101,131560935,831531285,78460157,782447341,1,1,1,1,1,0,0,0,0,0
193803103,1,1261031,2186815,5233960,101552495,75961300,1,1,1,1,1,0,0,0,0,0
831531285,1,830575101,131560935,119704054,78460157,782447341,1,1,1,1,1,0,0,0,0,0
189750024,4,829713168,83664193,184445463,604008508,76134076,3,3,4,4,4,0.6,0.6,0.6666666667,0.6666666667,0.6666666667
88000315,1,69929842,18287552,602665775,139625417,93387579,1,1,1,1,1,0,0,0,0,0
614164499,1,620059766,42370775,605867774,927417469,154596779,1,1,1,1,1,0,0,0,0,0
606624653,4,3548489,68528376,20751082,123615630,107212169,3,6,4,2,2,0.25,0.3333333333,0.4,0.5,0.5
54321898,1,188570626,806750386,2227478,151808995,68250745,1,1,1,1,1,0,0,0,0,0
966507378,1,961917759,106011252,160006813,164828761,157628525,1,1,1,1,2,0,0,0,0,0.5
150916658,1,808501931,85178908,7021066,603960469,608067005,1,1,1,1,1,0,0,0,0,0
19882799,2,53381612,83739263,164573102,828118484,65516288,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
808501931,1,150916658,85178908,7021066,603960469,608067005,1,1,1,1,1,0,0,0,0,0
932838519,1,198627978,957270739,4074261,126959774,927746578,1,1,1,1,1,0,0,0,0,0
18835699,1,794335786,126966477,831000646,809123961,196358287,1,1,1,1,1,0,0,0,0,0
134614411,1,788084705,75140285,157308230,144575763,602736795,1,1,1,1,1,0,0,0,0,0
787724772,1,175352004,946565702,110927634,21306101,623321221,1,1,1,1,1,0,0,0,0,0
175362375,1,5070719,110480394,199470092,828971924,618467547,1,1,1,1,1,0,0,0,0,0
10944650,8,162299978,61844015,76626241,11494957,131664773,2,8,3,4,5,0.75,0.7692307692,0.7777777778,0.8,0.8181818182
13004192,3,144280088,106931488,51229602,837750140,804684207,2,2,2,2,2,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333
63455190,1,945837219,101582922,33625836,100604768,62172143,1,1,1,1,1,0,0,0,0,0
